asset_id,category,family,piece,scope,priority,status,art_missing,current_art,implemented_in,requirement_id,notes
req-anti-aircraft-aa-state,board-ui,Anti-aircraft/lander area,AA-state,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-anti-aircraft-available,board-ui,Anti-aircraft/lander area,available,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-anti-aircraft-escaped,board-ui,Anti-aircraft/lander area,escaped,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-anti-aircraft-lander-arrival,board-ui,Anti-aircraft/lander area,lander-arrival,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-anti-aircraft-launch,board-ui,Anti-aircraft/lander area,launch,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-anti-aircraft-unavailable,board-ui,Anti-aircraft/lander area,unavailable,base-game,high,missing,yes,,,anti-aircraft,Dedicated board-information treatment is missing.
req-computer-room-available,board-ui,Computer terminal room indicator,available,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,computer-room,Functional board/HUD treatment; bespoke illustration may still be needed.
req-computer-room-broken,board-ui,Computer terminal room indicator,broken,base-game,high,complete,no,../../js/render.js,../../js/render.js;../../js/ui.js,computer-room,Functional board/HUD treatment; bespoke illustration may still be needed.
req-computer-room-offline,board-ui,Computer terminal room indicator,offline,base-game,high,missing,yes,,,computer-room,Dedicated board-information treatment is missing.
req-computer-room-used,board-ui,Computer terminal room indicator,used,base-game,high,missing,yes,,,computer-room,Dedicated board-information treatment is missing.
req-intruder-board-queen-health,board-ui,Intruder and Queen board,Queen-health,base-game,high,missing,yes,,,intruder-board,Dedicated board-information treatment is missing.
req-intruder-board-bag-development,board-ui,Intruder and Queen board,bag-development,base-game,high,missing,yes,,,intruder-board,Dedicated board-information treatment is missing.
req-intruder-board-health,board-ui,Intruder and Queen board,health,base-game,high,missing,yes,,,intruder-board,Dedicated board-information treatment is missing.
req-intruder-board-pool,board-ui,Intruder and Queen board,pool,base-game,high,missing,yes,,,intruder-board,Dedicated board-information treatment is missing.
req-intruder-board-weaknesses,board-ui,Intruder and Queen board,weaknesses,base-game,high,missing,yes,,,intruder-board,Dedicated board-information treatment is missing.
req-objective-track-choice-position,board-ui,Objective choice/progress track,choice-position,base-game,high,partial,partial,../../js/render.js,../../js/render.js;../../js/ui.js,objective-track,Functional board/HUD treatment; bespoke illustration may still be needed.
